 -9.9000e+00  1.9748e+04 -1.0000e+01
 -9.7000e+00  2.0628e+04 -9.8000e+00
 -9.5000e+00  2.0694e+04 -9.6000e+00
 -9.3000e+00  2.1433e+04 -9.4000e+00
 -9.1000e+00  2.1549e+04 -9.2000e+00
 -8.9000e+00  2.2266e+04 -9.0000e+00
 -8.7000e+00  2.2993e+04 -8.8000e+00
 -8.5000e+00  2.3017e+04 -8.6000e+00
 -8.3000e+00  2.3742e+04 -8.4000e+00
 -8.1000e+00  2.4899e+04 -8.2000e+00
 -7.9000e+00  2.5206e+04 -8.0000e+00
 -7.7000e+00  2.5687e+04 -7.8000e+00
 -7.5000e+00  2.6643e+04 -7.6000e+00
 -7.3000e+00  2.7317e+04 -7.4000e+00
 -7.1000e+00  2.8612e+04 -7.2000e+00
 -6.9000e+00  2.8867e+04 -7.0000e+00
 -6.7000e+00  2.9813e+04 -6.8000e+00
 -6.5000e+00  3.1157e+04 -6.6000e+00
 -6.3000e+00  3.2088e+04 -6.4000e+00
 -6.1000e+00  3.2780e+04 -6.2000e+00
 -5.9000e+00  3.3628e+04 -6.0000e+00
 -5.7000e+00  3.5419e+04 -5.8000e+00
 -5.5000e+00  3.7101e+04 -5.6000e+00
 -5.3000e+00  3.8206e+04 -5.4000e+00
 -5.1000e+00  3.9903e+04 -5.2000e+00
 -4.9000e+00  4.1234e+04 -5.0000e+00
 -4.7000e+00  4.3343e+04 -4.8000e+00
 -4.5000e+00  4.5059e+04 -4.6000e+00
 -4.3000e+00  4.6827e+04 -4.4000e+00
 -4.1000e+00  4.9304e+04 -4.2000e+00
 -3.9000e+00  5.1890e+04 -4.0000e+00
 -3.7000e+00  5.4072e+04 -3.8000e+00
 -3.5000e+00  5.6649e+04 -3.6000e+00
 -3.3000e+00  6.0607e+04 -3.4000e+00
 -3.1000e+00  6.4043e+04 -3.2000e+00
 -2.9000e+00  6.7704e+04 -3.0000e+00
 -2.7000e+00  7.2541e+04 -2.8000e+00
 -2.5000e+00  7.7626e+04 -2.6000e+00
 -2.3000e+00  8.3031e+04 -2.4000e+00
 -2.1000e+00  9.0318e+04 -2.2000e+00
 -1.9000e+00  9.8288e+04 -2.0000e+00
 -1.7000e+00  1.0727e+05 -1.8000e+00
 -1.5000e+00  1.1952e+05 -1.6000e+00
 -1.3000e+00  1.3309e+05 -1.4000e+00
 -1.1000e+00  1.5002e+05 -1.2000e+00
 -9.0000e-01  1.7268e+05 -1.0000e+00
 -7.0000e-01  2.0400e+05 -8.0000e-01
 -5.0000e-01  2.4841e+05 -6.0000e-01
 -3.0000e-01  3.2203e+05 -4.0000e-01
 -1.0000e-01  5.1166e+05 -2.0000e-01
  1.0000e-01  5.2033e+05  0.0000e+00
  3.0000e-01  3.2156e+05  2.0000e-01
  5.0000e-01  2.4758e+05  4.0000e-01
  7.0000e-01  2.0278e+05  6.0000e-01
  9.0000e-01  1.7280e+05  8.0000e-01
  1.1000e+00  1.4935e+05  1.0000e+00
  1.3000e+00  1.3265e+05  1.2000e+00
  1.5000e+00  1.1783e+05  1.4000e+00
  1.7000e+00  1.0677e+05  1.6000e+00
  1.9000e+00  9.7392e+04  1.8000e+00
  2.1000e+00  9.0053e+04  2.0000e+00
  2.3000e+00  8.3189e+04  2.2000e+00
  2.5000e+00  7.7341e+04  2.4000e+00
  2.7000e+00  7.1897e+04  2.6000e+00
  2.9000e+00  6.7550e+04  2.8000e+00
  3.1000e+00  6.3617e+04  3.0000e+00
  3.3000e+00  6.0135e+04  3.2000e+00
  3.5000e+00  5.7146e+04  3.4000e+00
  3.7000e+00  5.3690e+04  3.6000e+00
  3.9000e+00  5.1797e+04  3.8000e+00
  4.1000e+00  4.8934e+04  4.0000e+00
  4.3000e+00  4.6561e+04  4.2000e+00
  4.5000e+00  4.5053e+04  4.4000e+00
  4.7000e+00  4.2524e+04  4.6000e+00
  4.9000e+00  4.1283e+04  4.8000e+00
  5.1000e+00  3.9770e+04  5.0000e+00
  5.3000e+00  3.8127e+04  5.2000e+00
  5.5000e+00  3.7167e+04  5.4000e+00
  5.7000e+00  3.5076e+04  5.6000e+00
  5.9000e+00  3.4038e+04  5.8000e+00
  6.1000e+00  3.3159e+04  6.0000e+00
  6.3000e+00  3.1740e+04  6.2000e+00
  6.5000e+00  3.1069e+04  6.4000e+00
  6.7000e+00  2.9975e+04  6.6000e+00
  6.9000e+00  2.8786e+04  6.8000e+00
  7.1000e+00  2.8097e+04  7.0000e+00
  7.3000e+00  2.7215e+04  7.2000e+00
  7.5000e+00  2.7023e+04  7.4000e+00
  7.7000e+00  2.6084e+04  7.6000e+00
  7.9000e+00  2.5467e+04  7.8000e+00
  8.1000e+00  2.4469e+04  8.0000e+00
  8.3000e+00  2.3728e+04  8.2000e+00
  8.5000e+00  2.3380e+04  8.4000e+00
  8.7000e+00  2.2581e+04  8.6000e+00
  8.9000e+00  2.2196e+04  8.8000e+00
  9.1000e+00  2.1685e+04  9.0000e+00
  9.3000e+00  2.1108e+04  9.2000e+00
  9.5000e+00  2.0813e+04  9.4000e+00
  9.7000e+00  2.0244e+04  9.6000e+00
  9.9000e+00  1.9843e+04  9.8000e+00
  9.9000e+00  0.0000e+00  1.0000e+01
